Nome,Idade,Estado,Partido,Classificação,Raça,Profissão,Escolaridade,Estado civil,Classe,Tempo na política,Capital 1,Capital 2
Alliny Serrão,38,Amapá,UNIÃO,Direita tradicional,Branca,Deputada,Superior incompleto,Casada,Alta,12,capital político do próprio campo,capital familiar
Edna Auzier,51,Amapá,PSD,Direita tradicional,Parda,Deputada,Superior completo,Casada,Alta,12,capital político do próprio campo,capital familiar
Dayse Marques,47,Amapá,SOLIDARIEDADE,Direita tradicional,Parda,Professora,Ensino médio completo,Casada,Média baixa,8,Sem informações,
Zeneide Costa,56,Amapá,PODE,Direita tradicional,Parda,Servidora pública,Ensino médio completo,Casada,Média alta,20,capital político do próprio campo,
Solange Almeida ,45,Maranhão,PL,Direita tradicional,Parda,Empresária,Superior completo,Casada,Alta,2,capital familiar,
Edna Silva ,40,Maranhão,PATRIOTA,Direita tradicional,Parda,Empresária,Ensino médio completo,Solteira,Alta,2,capital familiar,
Fabiana Vilar ,38,Maranhão,PL,Direita tradicional,Branca,Advogada,Superior completo,Solteira,Média alta,4,capital político do próprio campo,
Janaína Ramos ,37,Maranhão,REPUBLICANOS,Direita tradicional,Branca,Nutricionista,Superior completo,Casada,Média alta,2,capital familiar,capital político do próprio campo
Mical Damasceno ,52,Maranhão,PSD,Neoconservadora,Parda,Administradora,Superior completo,Divorciada,Média alta,16,capital religioso,capital político do próprio campo
Bruna Furlan,41,São Paulo,PSDB,Direita tradicional,Branca,Deputada,Superior completo,Casada,Alta,14,capital político do próprio campo,capital familiar
Analice Fernandes,63,São Paulo,PSDB,Direita tradicional,Branca,Enfermeira,Superior completo,Casada,Média alta,18,capital político do próprio campo,capital familiar
Carla Morando,50,São Paulo,PSDB,Direita tradicional,Branca,Empresária,Superior completo,Casada,Alta,6,capital familiar,capital político do próprio campo
Clarice Ganem,69,São Paulo,PODE,Direita tradicional,Branca,Administradora,Superior completo,Viúva,Média alta,2,capital familiar,capital político do próprio campo
Dani Alonso,36,São Paulo,PL,Neoconservadora,Branca,Empresária,Superior completo,Divorciada,Alta,6,capital familiar,capital político do próprio campo
Delegada Graciela,60,São Paulo,PL,Direita tradicional,Branca,Deputada,Superior completo,Casada,Alta,18,capital político do próprio campo,
Edna Macedo,76,São Paulo,REPUBLICANOS,Neoconservadora,Branca,Deputada,Ensino médio completo,Casada,Alta,18,capital político do próprio campo,capital midiático
Fabiana Barroso,31,São Paulo,PL,Neoconservadora,Parda,Empresária,Superior completo,Solteira,Alta,4,capital político do próprio campo,capital familiar
Letícia Aguiar,44,São Paulo,PP,Neoconservadora,Branca,Outros,Superior incompleto,Casada,Outros,8,capital político do próprio campo,
Maria Lúcia Amary,73,São Paulo,PSDB,Direita tradicional,Branca,Deputada,Superior completo,Divorciada,Alta,18,capital político do próprio campo,capital familiar
Marta Costa,68,São Paulo,PSD,Neoconservadora,Branca,Servidora pública,Superior completo,Casada,Média alta,20,capital religioso,capital político do próprio campo
Solange Freitas,54,São Paulo,UNIÃO,Direita tradicional,Branca,Jornalista e redatora,Superior completo,Solteira,Média alta,4,capital midiático,capital político do próprio campo
Valeria Bolsonaro,55,São Paulo,PL,Neoconservadora,Branca,Deputada,Superior completo,Casada,Alta,8,capital familiar,capital político do próprio campo
Doutora Jane,61,Distrito Federal,MDB,Direita tradicional,Preta,Policial civil,Superior completo,Divorciada,Média alta,6,direção de sindicatos e federações de trabalhadores,
Jaqueline Silva,44,Distrito Federal,MDB,Direita tradicional,Sem informação,Deputada,Superior completo,Casada,Alta,18,capital político do próprio campo,
Adriana Lara,56,Rio Grande do Sul,PL,Neoconservadora,Branca,Servidora pública,Superior completo,Divorciada,Média alta,20,capital político do próprio campo,
Delegada Nadine,48,Rio Grande do Sul,PSDB,Direita tradicional,Branca,Servidora pública,Superior completo,Casada,Média alta,2,capital associativo,
Eliana Bayer,41,Rio Grande do Sul,REPUBLICANOS,Neoconservadora,Parda,Dona de casa,Superior completo,Casada,Baixa,2,capital familiar,
Kelly Moraes,61,Rio Grande do Sul,PL,Direita tradicional,Branca,Deputada,Ensino fundamental completo,Solteira,Alta,18,capital político do próprio campo,capital familiar
Patrícia Alba,49,Rio Grande do Sul,MDB,Direita tradicional,Branca,Advogada,Superior completo,Casada,Média alta,6,capital familiar,capital político do próprio campo
Silvana Covatti,61,Rio Grande do Sul,PP,Direita tradicional,Branca,Deputada,Superior incompleto,Casada,Alta,18,capital familiar,capital político do próprio campo
